Site,Use,Depth,TotalRoot,SumFine,SumCoarse,Pitwidth,FracFine,FracCoarse,FracTotal,ppt,temp,pet,ari,ep,pptpet
TRB,N,11,34,28,6,39,0.717948717948718,0.15384615384615385,0.8717948717948718,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,12,31,26,5,39,0.6666666666666666,0.1282051282051282,0.7948717948717948,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,13,28,22,6,38,0.5789473684210527,0.15789473684210525,0.7368421052631579,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,14,27,23,4,39,0.5897435897435898,0.10256410256410256,0.6923076923076923,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,15,25,20,5,39,0.5128205128205128,0.1282051282051282,0.6410256410256411,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,16,26,22,4,39,0.5641025641025641,0.10256410256410256,0.6666666666666666,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,17,19,18,1,39,0.46153846153846156,0.02564102564102564,0.48717948717948717,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,18,21,16,5,39,0.41025641025641024,0.1282051282051282,0.5384615384615384,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,19,17,15,2,39,0.38461538461538464,0.05128205128205128,0.4358974358974359,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,20,17,16,1,39,0.41025641025641024,0.02564102564102564,0.4358974358974359,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,21,27,27,0,39,0.6923076923076923,0,0.6923076923076923,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,22,21,21,0,39,0.5384615384615384,0,0.5384615384615384,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,23,20,20,0,39,0.5128205128205128,0,0.5128205128205128,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,24,17,17,0,39,0.4358974358974359,0,0.4358974358974359,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,25,16,16,0,38,0.42105263157894735,0,0.42105263157894735,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,26,18,17,1,39,0.4358974358974359,0.02564102564102564,0.46153846153846156,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,27,19,17,2,39,0.4358974358974359,0.05128205128205128,0.48717948717948717,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,28,17,16,1,39,0.41025641025641024,0.02564102564102564,0.4358974358974359,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,29,18,17,1,39,0.4358974358974359,0.02564102564102564,0.46153846153846156,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,30,19,19,0,39,0.48717948717948717,0,0.48717948717948717,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,31,15,15,0,39,0.38461538461538464,0,0.38461538461538464,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,32,14,14,0,39,0.358974358974359,0,0.358974358974359,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,33,18,17,1,38,0.4473684210526316,0.02631578947368421,0.47368421052631576,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,34,25,25,0,38,0.6578947368421053,0,0.6578947368421053,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
TRB,N,35,26,26,0,38,0.6842105263157895,0,0.6842105263157895,466.4976271178679,11.429661254175086,1899.999997959998,0.2151000052690506,-3.0729038852751405,0.24552506716775765
