ID,Site,Use,Horizon,MidDepth,eoc,moisture,avgaggL021,avgagg021_1,avgagg1_2,avgagg2_476,avgaggM476,sdaggL021,sdagg021_1,sdagg1_2,sdagg2_476,sdaggM476,avgaggOCL021,avgaggOC021_1,avgaggOC1_2,avgaggOC2_476,avgaggOCM476,sdaggOCL021,sdaggOC021_1,sdaggOC1_2,sdaggOC2_476,sdaggOCM476,micro,intmacro,macro,sdmicro,sdintmacro,sdmacro,microOC,intmacroOC,macroOC,sdmicroOC,sdintmacroOC,sdmacroOC,avgMAD,sdMAD
EKS_NPT_S0H3,EKS,N,S0H3,50.5,1.1,0.272858171,0.13467985033333332,0.30772528233333335,0.257125818,0.096958133,0.17239485666666668,0.05172725651257426,0.03896277553938993,0.03202395570116515,0.04404940975231069,0.018040516583824103,12.243622757575757,27.975025666666664,23.37507436363636,8.814375727272726,15.672259696969695,4.702477864779477,3.542070503580902,2.911268700105924,4.004491795664608,1.6400469621658271,0.13467985033333332,0.6618092333333333,0.17239485666666668,0.05172725651257426,0.0354042882024442,0.018040516583824103,12.243622757575757,60.16447575757575,15.672259696969695,4.702477864779477,3.2185716547676533,1.6400469621658271,0.7638416292583823,0.25950409675965863
EKS_NPT_S0H4,EKS,N,S0H4,73,0.3,0.253183902,0.433322222,0.2782819663333333,0.08942897633333334,0.07112872,0.10751063933333332,0.03817453864574794,0.005964457920899892,0.012604205441118505,0.0314630704838681,0.02745113515219639,144.44074066666667,92.76065544444444,29.80965877777778,23.70957333333333,35.836879777777774,12.724846215249304,1.9881526402999639,4.201401813706169,10.487690161289366,9.15037838406546,0.433322222,0.4388396626666667,0.10751063933333332,0.03817453864574794,0.046335379883422,0.02745113515219639,144.44074066666667,146.27988755555555,35.836879777777774,12.724846215249304,15.445126627807333,9.15037838406546,0.19271901477622796,0.03366485337029751
EKS_NPT_S0H5,EKS,N,S0H5,105.5,0.2,0.24235645,0.08659763499999999,0.42155367233333335,0.34623533333333334,0.07694635300000001,0.020713017333333333,0.02469371235064041,0.014395142681037169,0.010599535120034,0.009827284248228242,0.017929839481434777,43.2988175,210.77683616666667,173.11766666666668,38.4731765,10.356508666666667,12.346856175320205,7.197571340518582,5.299767560016998,4.913642124114122,8.96491974071739,0.08659763499999999,0.8447353586666666,0.020713017333333333,0.02469371235064041,0.011848482443796163,0.017929839481434777,43.2988175,422.36767933333334,10.356508666666667,12.346856175320205,5.924241221898066,8.96491974071739,0.6435723077581638,0.09836934273441444
EKS_NPT_S0H6,EKS,N,S0H6,148,0.1,0.233110616,0.10313358533333333,0.37279332033333334,0.41102810833333336,0.11198207066666667,0,0.028559357584166768,0.06850309195678841,0.05924063745035609,0.10247956499567705,0,103.13358533333333,372.7933203333333,411.0281083333333,111.98207066666667,0,28.559357584166758,68.5030919567884,59.240637450356076,102.47956499567704,0,0.10313358533333333,0.8958034993333334,0,0.028559357584166768,0.02853670947703072,0,103.13358533333333,895.8034993333334,0,28.559357584166758,28.53670947703066,0,0.6560926184180305,0.052690662203036726
EKS_NPT_S0H7,EKS,N,S0H7,183.5,0.1,0.270981508,0.096245489,0.31884378733333335,0.3793773866666667,0.19110825533333334,0.012454803,0.01969781300665594,0.009147952168810586,0.015803359212624775,0.009292876982698636,0.013319950185148555,96.245489,318.8437873333333,379.37738666666667,191.10825533333332,12.454803,19.697813006655938,9.147952168810592,15.803359212624766,9.29287698269863,13.319950185148553,0.096245489,0.8893294293333334,0.012454803,0.01969781300665594,0.033375776879568185,0.013319950185148555,96.245489,889.3294293333333,12.454803,19.697813006655938,33.37577687956822,13.319950185148553,0.7742765210370081,0.050679291159590995
HAY_APT_S0H1,HAY,A,S0H1,8.5,1.1,0.222629223,0.08359183766666667,0.31758933533333333,0.399868262,0.16785111566666666,0.030772423333333333,0.009871112752155414,0.02887102377838509,0.039780293276849135,0.05470557609454891,0.026083968469902144,7.5992579696969695,28.871757757575754,36.351660181818175,15.259192333333331,2.79749303030303,0.8973738865595835,2.624638525307735,3.6163902978953764,4.973234190413537,2.371269860900195,0.08359183766666667,0.8853087129999999,0.030772423333333333,0.009871112752155414,0.020592150119880654,0.026083968469902144,7.5992579696969695,80.48261027272727,2.79749303030303,0.8973738865595835,1.8720136472618714,2.371269860900195,0.8266614326730665,0.1206011963958172
HAY_APT_S0H2,HAY,A,S0H2,20.5,0.9,0.208215868,0.088091641,0.2538927366666667,0.434801932,0.221082057,0.001845388,0.014831540537191375,0.04663820144979224,0.02860490459479383,0.05495283693333493,0.0026003511072707087,9.78796011111111,28.210304074074074,48.31132577777777,24.564672999999996,0.20504311111111106,1.6479489485768195,5.18202238331025,3.1783227327548698,6.105870770370547,0.28892790080785646,0.088091641,0.9097767256666668,0.001845388,0.014831540537191375,0.014128719861100987,0.0026003511072707087,9.78796011111111,101.08630285185184,0.20504311111111106,1.6479489485768195,1.5698577623445575,0.28892790080785646,0.8774954769247265,0.12803983172314426
HAY_APT_S0H3,HAY,A,S0H3,35,0.7,0.224806202,0.11655892033333333,0.348741967,0.395539421,0.12736330033333332,0.011448278333333334,0.017141305618797217,0.07550493350995895,0.013215717218338589,0.05677377511796016,0.01775749298325871,16.651274333333333,49.82028100000001,56.50563157142858,18.194757190476192,1.6354683333333337,2.44875794554246,10.786419072851277,1.8879596026197998,8.110539302565737,2.536784711894102,0.11655892033333333,0.8716446883333333,0.011448278333333334,0.017141305618797217,0.034575501030275645,0.01775749298325871,16.651274333333333,124.52066976190477,1.6354683333333337,2.44875794554246,4.939357290039375,2.536784711894102,0.6543718806523628,0.06044431892111443
HAY_APT_S0H4,HAY,A,S0H4,55,0.5,0.197121152,0.11570715166666666,0.346575422,0.38468744266666666,0.152391898,3.604463333333333e-4,0.02706112703591228,0.0632591270159315,0.02913956963367915,0.07040482999690846,6.243113627352407e-4,23.141430333333332,69.3150844,76.93748853333334,30.4783796,0.07208926666666667,5.412225407182457,12.651825403186304,5.827913926735829,14.08096599938169,0.12486227254704814,0.11570715166666666,0.8836547626666666,3.604463333333333e-4,0.02706112703591228,0.026430052541587208,6.243113627352407e-4,23.141430333333332,176.73095253333332,0.07208926666666667,5.412225407182457,5.28601050831743,0.12486227254704814,0.6676188806147234,0.11621801652559864
HAY_APT_S0H5,HAY,A,S0H5,69.5,0.3,0.153284672,0.18544952733333334,0.38437287666666664,0.31948704966666663,0.109096526,0.001202248,0.0594488590750451,0.012606670307777157,0.05217091456321383,0.03089169496922202,0.0020823546192980675,61.81650911111112,128.1242922222222,106.49568322222221,36.36550866666666,0.40074933333333335,19.816286358348368,4.202223435925714,17.390304854404604,10.297231656407341,0.6941182064326892,0.18544952733333334,0.8129564523333334,0.001202248,0.0594488590750451,0.0577903539923477,0.0020823546192980675,61.81650911111112,270.9854841111111,0.40074933333333335,19.816286358348368,19.26345133078253,0.6941182064326892,0.46682015805631955,0.12467193927438514
