SampleID,Site,Use,Replicate,MidDepth,SOC,Horizon,ppt,temp,pet,ari,ep,pptpet
HAY-A04-S030-20180508,HAY,A,4,22.5,0.578869,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A01-S075-20180508,HAY,A,1,52.5,0.364295,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A02-S075-20180508,HAY,A,2,52.5,0.336366,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A03-S075-20180508,HAY,A,3,52.5,0.356943,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A04-S075-20180508,HAY,A,4,52.5,0.285613,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A01-S150-20180508,HAY,A,1,112.5,0.17538,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A02-S150-20180508,HAY,A,2,112.5,0.242013,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A03-S150-20180508,HAY,A,3,112.5,0.204872,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
HAY-A04-S150-20180508,HAY,A,4,112.5,0.163424,NA,613.5882243973671,12.39147081203661,1758.0000079199956,0.3310000002384186,-1.8651136674707334,0.3490262921689877
KNZ-N01-S005-20180511,KNZ,N,1,2.5,3.24094,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N02-S005-20180511,KNZ,N,2,2.5,3.49522,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N03-S005-20180511,KNZ,N,3,2.5,3.53528,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N04-S005-20180511,KNZ,N,4,2.5,3.59571,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N02-S015-20180511,KNZ,N,2,10,2.54584,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N03-S015-20180511,KNZ,N,3,10,3.0408,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N04-S015-20180511,KNZ,N,4,10,2.24299,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N02-S030-20180511,KNZ,N,2,22.5,1.53285,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N03-S030-20180511,KNZ,N,3,22.5,1.96426,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N04-S030-20180511,KNZ,N,4,22.5,1.51783,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N01-S075-20180511,KNZ,N,1,52.5,0.929791,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N02-S075-20180511,KNZ,N,2,52.5,0.824928,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N03-S075-20180511,KNZ,N,3,52.5,0.963401,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N04-S075-20180511,KNZ,N,4,52.5,0.825794,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
KNZ-N01-S120-20180511,KNZ,N,1,97.5,0.418015,NA,868.1894931738193,12.773776205007163,1523.9999839200004,0.5830000042915344,-0.7553771335664874,0.5696781511379552
