SampleID,Site,Use,Horizon,MidDepth,eoc,mbc,ppt,tmp,pet,ari,ep,pptpet,FracFine_avg,FracFine_sd,FracCoarse_avg,FracCoarse_sd,FracTotal_avg,FracTotal_sd,eocfine,eoccoarse,eoctotal
EKS_NPT_S0H7,EKS,N,H7,183.5,0.00336825859905783,64.33368138732382,1040.9933598466291,13.158171830237468,1505.000008999997,0.6693999767303467,-0.4457344946193802,0.6916899359610776,0.5274891774891775,0.103643768640929,0.4629813169286853,0.10464479544229302,0.9904704944178628,0.017140116007917743,0.0063854553662893625,0.00727515015379477,0.003400665257613235
HAY_APT_S0H1,HAY,A,H1,8.5,0.02664882024205,91.06480970153336,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.4463667820069204,0.1598263865727474,0.4740484429065744,0.12342535574537009,0.9204152249134948,0.10281752336112758,0.059701620542267055,0.05621539452520037,0.028953041541174625
HAY_APT_S0H2,HAY,A,H2,20.5,0.02221771136278194,35.76543546247441,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.7773109243697479,0.1779813946261973,0.18907563025210083,0.1779813946261973,0.9663865546218487,0.020296045863010467,0.028582785428876226,0.11750700676315783,0.02299050132322653
HAY_APT_S0H3,HAY,A,H3,35,0.024769630760752,44.09828918627555,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.81951871657754,0.1040042960764637,0.0053475935828877,0.014737678892447594,0.8248663101604278,0.10757948650140722,0.0302246065400367,4.631920952260624,0.030028660954688
HAY_APT_S0H4,HAY,A,H4,55,0.02607871485519999,29.398668254648875,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.7709694989106753,0.2158145742276761,0.00326797385620915,0.009511200981816978,0.7742374727668845,0.21803436397728732,0.0338258710520291,7.980086745691198,0.03368309565539725
HAY_APT_S0H5,HAY,A,H5,69.5,0.021014035218976,24.640022521102217,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.7929292929292929,0.08180415143450359,0.0025252525252525246,0.008375315127160098,0.7954545454545454,0.07784989441615232,0.026501776900364638,8.321557946714499,0.026417644275284115
HAY_APT_S0H6,HAY,A,H6,83.5,0.00940377858411803,80.8639845212799,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.8456625074272133,0.09308340091992232,0.008169934640522875,0.023579852434087927,0.8538324420677362,0.0852664628981944,0.01112001360061173,1.1510224986960471,0.011013611243612139
HAY_APT_S0H7,HAY,A,H7,111,0.00701335832447612,83.86198174194193,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.8644138755980861,0.07028017903506432,0.01248006379585327,0.02454619823376237,0.8768939393939394,0.0666533449388103,0.00811342636028788,0.5619649417823038,0.007997955065493285
HAY_APT_S0H8,HAY,A,H8,155,0.00781831228826432,76.45349615025707,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.7987170111287758,0.10064488770900709,5e-4,0.0035355339059327377,0.7992170111287759,0.10134472662494277,0.009788588673246357,15.63662457652864,0.00978246481168126
HAY_APT_S0H9,HAY,A,H9,195,0.00683388950605974,67.39392681408945,603.703118451553,12.254691628970551,1758.0000079199956,0.3310000002384186,-1.9120273760207096,0.3434033650351535,0.7819337194337195,0.13023380781448055,0.004464285714285714,0.01120526821250994,0.7863980051480052,0.13328010584435404,0.008739729898090185,1.5307912493573819,0.008690115515709577
HAY_NPT_S0H1,HAY,N,H1,19.5,0.027954930479428,194.36141054603556,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.6432738765362604,0.16769828875370124,0.24587496481846327,0.0943913923175139,0.8891488413547237,0.12940464166588228,0.04345727612934119,0.11369571725233575,0.031440102240739974
HAY_NPT_S0H2,HAY,N,H2,48.5,0.022681174498516,0,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.7368421052631579,0.20081461779772797,0.16374269005847952,0.10430330003730263,0.9005847953216374,0.22073495158362325,0.030781593962271717,0.13851717283022272,0.02518494051458595
HAY_NPT_S0H3,HAY,N,H3,75,0.020393283880286,25.643635678413325,604.0667156119544,12.262056768685468,1758.0000041999967,0.33309999108314514,-1.910274575249592,0.34361019008463745,0.863116458704694,0.09304321590100074,0.06446821152703505,0.07294343474790306,0.9275846702317291,0.07754926646816561,0.02362749971294817,0.3163308458112566,0.02198536105085841
